,Victims,Crime_Type,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Latitude,Longitude,Police District Number,Second,Minute,Hour,Week,Day,Month,Year
55545,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20878.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,W,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,0,17,46,17,11,2016
55550,1,Other,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Residence - Single Family,G,3G1,93.0,8100.0,W,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,23,16,46,18,11,2016
55676,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Street - In vehicle,R,6R1,548.0,700.0,W,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,7,18,46,19,11,2016
55905,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,S,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,21,13,46,18,11,2016
56029,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20876.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,0,17,46,20,11,2016
56400,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Street - In vehicle,R,6R1,548.0,700.0,N,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,28,23,47,24,11,2016
56945,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20850.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,W,AVE,39.039814085,-76.990643605,3D,0,30,17,48,28,11,2016
57251,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,E,FREDERICK,S,RD,39.198413208000005,-77.244945742,5D,0,28,18,48,30,11,2016
57574,1,Crime Against Person,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,E,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,26,21,47,27,11,2016
57575,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,E,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,26,21,47,27,11,2016
57983,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11100.0,W,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,16,2,48,2,12,2016
58129,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,24,14,49,6,12,2016
58260,1,Other,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Street - In vehicle,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,0,22,49,6,12,2016
58370,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,S,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,31,13,49,7,12,2016
58448,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,148.0,11200.0,W,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,19,18,49,8,12,2016
58810,1,Crime Against Property,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,G,3G1,109.0,8600.0,W,COLESVILLE,E,RD,38.996081210999996,-77.02813565,3D,0,0,11,49,10,12,2016
58841,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,354.0,11200.0,W,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,0,22,49,8,12,2016
58975,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Street - In vehicle,M,5M1,701.0,20900.0,S,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,0,0,49,7,12,2016
58976,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Street - In vehicle,M,5M1,701.0,20900.0,S,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,0,0,49,7,12,2016
59053,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11100.0,S,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,53,2,49,10,12,2016
59540,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Residence - Single Family,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,26,16,50,15,12,2016
59572,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Street - In vehicle,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,2,19,50,15,12,2016
59601,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20901.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,W,AVE,39.039814085,-76.990643605,3D,0,9,2,50,16,12,2016
60328,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20876.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,N,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,0,10,51,20,12,2016
61188,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,S,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,4,15,52,26,12,2016
61189,1,Other,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,S,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,4,15,52,26,12,2016
61217,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Residential,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,0,22,52,26,12,2016
61296,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,N,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,42,21,51,21,12,2016
61345,1,Crime Against Society,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,94.0,8100.0,E,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,48,20,52,27,12,2016
61385,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - In vehicle,I,3I1,148.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,13,2,52,28,12,2016
61628,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,E,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,57,14,52,29,12,2016
61888,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,109.0,8600.0,W,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,47,6,52,31,12,2016
61934,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,354.0,11200.0,W,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,8,0,52,29,12,2016
62011,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,30,12,52,29,12,2016
62012,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,30,12,52,29,12,2016
62368,1,Other,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,E,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,51,22,1,3,1,2017
62388,4,Crime Against Person,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,E,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,36,1,1,3,1,2017
62600,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,148.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,0,23,1,4,1,2017
62716,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,W,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,51,1,1,6,1,2017
62813,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Street - In vehicle,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,19,23,1,5,1,2017
62814,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Street - In vehicle,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,19,23,1,5,1,2017
63009,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,148.0,11200.0,N,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,0,9,1,6,1,2017
63211,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20901.0,MCPD,Street - In vehicle,G,3G1,109.0,8600.0,N,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,33,17,2,9,1,2017
63332,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Residence - Single Family,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,30,4,2,10,1,2017
64032,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,148.0,11200.0,N,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,50,15,2,14,1,2017
65350,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11200.0,E,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,30,4,3,21,1,2017
65456,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,0,10,4,24,1,2017
65499,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,108.0,8600.0,W,COLESVILLE,E,RD,38.996081210999996,-77.02813565,3D,0,41,0,3,22,1,2017
65842,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Residence - Single Family,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,30,1,4,26,1,2017
65843,1,Other,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,30,1,4,26,1,2017
66073,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,354.0,11200.0,N,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,50,11,2,15,1,2017
66125,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,40,14,4,28,1,2017
66149,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20866.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,47,19,4,28,1,2017
66221,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11200.0,E,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,0,23,4,28,1,2017
66248,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Street - In vehicle,M,5M1,701.0,20900.0,E,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,24,15,4,29,1,2017
66407,1,Crime Against Person,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - Residential,G,3G1,109.0,8600.0,W,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,35,20,5,30,1,2017
66408,2,Crime Against Person,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - Residential,G,3G1,109.0,8600.0,W,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,35,20,5,30,1,2017
66413,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20910.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,W,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,0,14,5,30,1,2017
66419,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,W,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,42,16,5,30,1,2017
66575,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,0,19,5,31,1,2017
66843,1,Crime Against Person,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,W,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,30,13,5,2,2,2017
66844,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,W,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,30,13,5,2,2,2017
66860,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11100.0,E,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,11,22,5,30,1,2017
66871,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,354.0,11200.0,N,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,3,23,5,2,2,2017
66996,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11200.0,W,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,19,15,5,3,2,2017
67746,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,N,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,5,15,5,4,2,2017
67979,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11100.0,W,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,29,23,6,9,2,2017
68101,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,45,11,6,10,2,2017
68208,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20901.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,W,NEW HAMPSHIRE,E,AVE,39.039814085,-76.990643605,3D,0,37,9,6,11,2,2017
68291,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,W,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,30,14,6,11,2,2017
69164,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20904.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,45,7,7,17,2,2017
69190,1,Other,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,16,10,7,17,2,2017
69506,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,109.0,8600.0,N,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,26,20,7,19,2,2017
69921,1,Other,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,W,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,0,20,8,21,2,2017
70082,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,108.0,8600.0,N,COLESVILLE,E,RD,38.996081210999996,-77.02813565,3D,0,55,23,8,22,2,2017
70243,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11200.0,E,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,32,23,8,23,2,2017
71102,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20903.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,W,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,0,18,9,1,3,2017
71539,1,Crime Against Person,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20906.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,N,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,45,22,9,4,3,2017
71922,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,30,19,10,6,3,2017
71923,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,30,19,10,6,3,2017
71924,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,30,19,10,6,3,2017
71928,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20878.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,N,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,54,12,10,7,3,2017
72026,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,24,13,10,7,3,2017
72175,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20874.0,MCPD,Street - In vehicle,M,5M1,472.0,20900.0,E,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,1,18,10,8,3,2017
72267,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,148.0,11200.0,E,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,51,19,10,8,3,2017
72325,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - In vehicle,I,3I1,148.0,11200.0,N,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,35,14,10,9,3,2017
72494,1,Other,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324.0,11200.0,N,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,21,0,10,10,3,2017
72811,1,Crime Against Property,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,N,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,11,16,11,13,3,2017
72996,2,Crime Against Person,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Residence -Townhouse/Duplex,G,3G1,94.0,8100.0,N,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,40,21,11,14,3,2017
73058,1,Crime Against Society,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Residence - Single Family,M,5M1,701.0,20900.0,E,FREDERICK,W,RD,39.198413208000005,-77.244945742,5D,0,26,14,11,15,3,2017
73062,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,E,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,48,15,11,15,3,2017
73087,1,Crime Against Society,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Street - In vehicle,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,32,23,10,11,3,2017
73092,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20878.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,8,17,11,15,3,2017
73141,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,0,21,10,7,3,2017
73366,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,N,NEW HAMPSHIRE,E,AVE,39.039818289,-76.99061525100001,3D,0,0,14,10,8,3,2017
73651,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,109.0,8600.0,N,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,47,1,12,20,3,2017
73652,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,109.0,8600.0,N,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,47,1,12,20,3,2017
73783,1,Crime Against Property,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,S,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,30,10,12,20,3,2017
73872,1,Other,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20886.0,MCPD,Street - In vehicle,R,6R1,548.0,700.0,W,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,3,12,12,21,3,2017
73990,1,Other,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,S,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,36,11,11,16,3,2017
74642,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,W,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,25,17,12,23,3,2017
74671,1,Other,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,W,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,0,19,12,25,3,2017
